fid,ID,layer,path,z_first,vertex_ind,vertex_par,vertex_p_1,distance,angle,X,Y
"35","34",SSS_AusLAMP__203513_7_n_HDS_ln_4fbcfd7b_364d_468c_9e15_3d7f632ca7a4,AusLAMP,-203513.0000000000,"4","1","1",20551.0511940000,157.5000000000,440000.0000000000,6779999.9999000002
"35","34",SSS_AusLAMP__203513_7_n_HDS_ln_4fbcfd7b_364d_468c_9e15_3d7f632ca7a4,AusLAMP,-203513.0000000000,"5","1","2",28517.6265550000,135.0000000000,445633.2194600000,6774366.7803999996
"49","48",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"0","0","0",0.0000000000,90.0000000000,460000.0000800000,6779999.9999000002
"49","48",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"1","0","1",10000.0000400000,67.5000000000,470000.0001200000,6779999.9999000002
"49","48",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"2","0","2",24142.1357190000,67.5000000000,480000.0001600000,6789999.9999000002
"49","48",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"3","0","3",34142.1357590000,112.5000000000,490000.0002000000,6789999.9999000002
"49","48",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"4","0","4",48284.2714390000,135.0000000000,500000.0002400000,6779999.9999000002
"49","48",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"5","0","5",55959.1583170000,135.0000000000,505426.9648000000,6774573.0352999996
"49","48",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"6","1","0",55959.1583170000,180.0000000000,510000.0002800000,6745685.5492000002
"49","48",SSS_AusLAMP__24844_4_n_HDS_ln_c72c23ee_274b_45ca_82af_65fc1f17ccab,AusLAMP,-24844.0000000000,"7","1","1",61644.7077740000,157.5000001600,510000.0002800000,6739999.9996999996
